2023-11-24 17:40:01 | [DEBUG] | (dbMysql.py) | get_last_workshift(46) | l_close_workshift
2023-11-24 17:40:01 | [DEBUG] | (dbMysql.py) | get_last_workshift(47) | ['313']
2023-11-24 17:40:01 | [INFO] | (dbMysql.py) | get_last_workshift(65) | Getting data on the last closed cash shifts
2023-11-24 17:40:01 | [DEBUG] | (dbMysql.py) | get_last_workshift(67) | Смены которые были открыты, а теперь закрыты - ()
2023-11-24 17:40:01 | [INFO] | (dbMysql.py) | get_last_workshift(70) | Writing a new date for closed shifts to a file
2023-11-24 17:40:01 | [INFO] | (dbMysql.py) | get_last_workshift(75) | sent workshift for 1C
2023-11-24 17:40:01 | [INFO] | (dbMysql.py) | get_last_workshift(76) | workshift - ()
2023-11-24 17:40:01 | [DEBUG] | (db.py) | del_close_workshift(454) | ()
2023-11-24 17:40:01 | [INFO] | (main.py) | main(96) | Номера закрытых кассовых смен - 0
2023-11-24 17:40:01 | [WARNING] | (main.py) | main(97) | l_workshift - ()
2023-11-24 17:40:01 | [INFO] | (dbMysql.py) | close_db_connection(177) | DB is closed!!!
2023-11-24 17:40:01 | [INFO] | (request.py) | getQueryShop(59) | []
2023-11-24 17:40:01 | [INFO] | (main.py) | main(116) | Обнаружены изменения по следующим магазинам - []
2023-11-24 17:40:01 | [INFO] | (main.py) | main(127) | Завершение работы программы
2023-11-24 17:40:01 | [INFO] | (main.py) | main(128) | *****************************************************************
2023-11-24 17:41:01 | [INFO] | (main.py) | main(60) | Запуск программы
2023-11-24 17:41:01 | [INFO] | (main.py) | main(61) | Current path /home/administrator
2023-11-24 17:41:01 | [INFO] | (db.py) | __init__(57) | Connect DB
2023-11-24 17:41:01 | [INFO] | (db.py) | __init__(60) | Start create DB
2023-11-24 17:41:01 | [INFO] | (db.py) | __init__(72) | Connect to MySql DB
2023-11-24 17:41:01 | [INFO] | (dbMysql.py) | load_last_date_open(123) | Reading the file with the date of the last openeded cash shift
2023-11-24 17:41:01 | [DEBUG] | (dbMysql.py) | get_last_workshift_open(83) | Номер от которого смотрим открытые смены - 315
2023-11-24 17:41:01 | [DEBUG] | (dbMysql.py) | get_last_workshift_open(86) | ()
